hs6,description
030488,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Dogfish, other sharks, rays and skates (Rajidae)"
030489,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Other"
030491,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Swordfish (Xiphias gladius)"
030492,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Toothfish (Dissostichus spp.)"
030493,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus"
030494,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Alaska Pollock (Theragra chalcogramma)"
030495,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae,"
030496,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Dogfish and other sharks"
030497,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Rays and skates (Rajidae)"
030499,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, frozen - Other"
030520,"Fish, dried, salted or in brine; smoked fish, whether or not - Livers, roes and milt of fish, dried, smoked, salted or in brine"
030531,"Fish, dried, salted or in brine; smoked fish, whether or not - Fish fillets, dried, salted or in brine, but not smoked - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus"
030532,"Fish, dried, salted or in brine; smoked fish, whether or not - Fish fillets, dried, salted or in brine, but not smoked - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae,"
030539,"Fish, dried, salted or in brine; smoked fish, whether or not - Fish fillets, dried, salted or in brine, but not smoked - Other"
030541,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha,"
030542,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Herrings (Clupea harengus, Clupea pallasii)"
030543,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus"
030544,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus"
030549,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Other"
030551,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030552,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus"
030553,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae,"
030554,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Herrings (Clupea harengus, Clupea pallasii), anchovies"
030559,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Other"
030561,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Herrings (Clupea harengus, Clupea pallasii)"
030562,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030563,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Anchovies (Engraulis spp.)"
030564,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus"
030569,"Fish, dried, salted or in brine; smoked fish, whether or not - Smoked fish, including fillets, other than edible fish offal - Other"
